time,video_id,title,channel_title,views,likes,comments
2025-09-08T14:06:58.158844,9z0ymrnBra8,Jarahn - End Up (Feat. Tati Stylez & Yansa Q),Jarahn,72159,2430,166
2025-09-08T14:06:58.158844,T6rW7GyPgbA,Last Samurai Standing | Official Teaser | Netflix,Netflix,175045,8324,617
2025-09-08T14:06:58.158844,OvFb2iCOsec,I'm Just a Regular Guy.,CoryxKenshin,6010836,799768,80795
2025-09-08T14:06:58.158844,42wfEs7oIP8,CORTIS (코르티스) 'FaSHioN' Official MV,HYBE LABELS,522102,138260,11456
2025-09-08T14:06:58.158844,J-0f7teDD2I,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",Netflix India,1150177,64037,3858
2025-09-08T14:06:58.158844,cis7kNAGUjg,We Climbed The Backrooms,SMii7Y,856332,60340,1949
2025-09-08T14:06:58.158844,RWz5KP4hNJo,Sipping,JNR VIGI - Topic,22266,1214,60
2025-09-08T14:06:58.158844,iqmbi1iamuU,More New Batman,Emergency Awesome,375697,5923,756
2025-09-08T14:06:58.158844,kGMp1Byuwto,Race Highlights | 2025 Italian Grand Prix,FORMULA 1,4232013,97855,5420
2025-09-08T14:06:58.158844,pqMCgfnBx74,HAECHAN 해찬 'CRZY' MV,SMTOWN,530991,157174,13261
2025-09-08T14:06:58.158844,ElG0_Q_oosE,The Equalizer 4 (2025) - First Trailer | Denzel Washington | Concept,KH Studio,482537,1043,93
2025-09-08T14:06:58.158844,F2jqMasAS6g,I Crafted The 20 NEWEST BRAINROTS..,CaylusBlox,907344,11595,1901
2025-09-08T14:06:58.158844,eppZuF1xOio,Need To,Gavin Adcock - Topic,41033,694,6
2025-09-08T14:06:58.158844,M2PnPWJemBI,Drinker's Chasers - The Bone Temple Trailer Reaction,Critical Drinker After Hours,55072,2814,588
2025-09-08T14:06:58.158844,2NREQXvS5uw,A Serial Killer Stalked Me At Work…,CaseOh,303588,11448,742
2025-09-08T14:06:58.158844,nQBA7o5e0MI,Jenn Carter - Alone,Jenn Carter,55263,6869,347
2025-09-08T14:06:58.158844,KFycS0ruY2A,GTA5 Online - Classic Launches and Submarine Glitch! (Funny Moments),VanossGaming,360189,25676,776
2025-09-08T14:06:58.158844,JYQMzYBf50w,Juan Gabriel - Así Fue (Letra),Romantic Music,131627,343,3
2025-09-08T14:06:58.158844,DcjvwotcVZA,My Cards Move FASTER Every Game,Jynxzi,297177,7108,312
2025-09-08T14:06:58.158844,dQwYoBLAWJo,Slimelife Shawty - Program (Official Music Video),Slimelife Shawty,106813,7075,644
2025-09-08T14:06:58.158844,NuyktnlRU_Y,ONE GIRL at an ALL K-POP DEMON School!,Aphmau,515817,11247,1509
2025-09-08T14:06:58.158844,TZHoqQnUbas,JoyRide,CORTIS - Topic,88399,17701,1395
2025-09-08T14:06:58.158844,xxVIHZHi67Q,"Roblox Steal a Brainrot - Lucky Block Opening, September 7th",JustAlx,595476,17420,7
2025-09-08T14:06:58.158844,GemaQetDZY4,"Katy Perry - The One That Got Away (Lyrics) ""in another life i would be your girl""",ourmemoriestonight,260656,1075,8
2025-09-08T14:06:58.158844,H48jVdeqS9s,ROBLOX PLAY VIDEO GAMES AT 3AM..,Foltyn,390555,8697,3258
2025-09-08T14:06:58.158844,K9oDyYNs3Zk,Foster the People - Pumped Up Kicks (Sub. Español + Lyrics),sweetblue.,164928,1293,29
2025-09-08T14:06:58.158844,E8aKGb_w-NQ,Beating Minecraft ONLY Using Lucky Blocks,SSundee,388310,17528,779
2025-09-08T14:06:58.158844,Xn0xSqq10YE,T-Pain ft. Akon - Bartender (Lyrics),Musixa,129848,254,1
2025-09-08T14:06:58.158844,Cmcr_8DlJUw,RUMI IGNORES EVERYONE For 24 Hours In Roblox SNAPCHAT,KPop Hunters,349947,11372,499
2025-09-08T14:06:58.158844,ZtKYDlvKjek,Missed Your Chance (Tok Pisin),Sean Rii - Topic,305100,9481,429
2025-09-08T14:06:58.158844,gXcJVowUmd8,Can We Turn Our Luck Around,Vegas Matt,221365,10426,2181
2025-09-08T14:06:58.158844,iBkQp2ILOiE,Owe Me,Buddah Bless - Topic,50360,3829,16
2025-09-08T14:06:58.158844,mA7LHeaHPZs,The Craziest Playoff Game EVER! Wheel of CUT! Ep. #16,MMG,115645,6153,432
2025-09-08T14:06:58.158844,Bt5U5NWyasM,DABABY - RAIN RAIN (Visualizer) ,DaBaby,68393,7096,498
2025-09-08T14:06:58.158844,F28mK4GkdCs,I Glitched The CRAFTING MACHINE in Steal a Brainrot..,Doodle and Arkey,191403,2591,566
2025-09-08T14:06:58.158844,J2sFfXJnVsM,"Victor Valverde, JR Torres - El Mayor de los Ranas  (Letra)🎶 Zumbando por el bulevar",Mundo Dembow,64467,146,1
2025-09-08T14:06:58.158844,neiohs6Cg9E,Playing steal a brainrot with NickEh30!!,steak,316942,9181,327
2025-09-08T14:06:58.158844,aCDMEuCpSbY,Romeo Santos - Promise (Letra/Lyrics) ft. Usher,DopeMusic,88338,119,1
2025-09-08T14:06:58.158844,qH97uVXogBY,*GAME of the YEAR* ALL 7'4 COMP PRO AM TEAM CHALLENGED my MICHAEL JORDAN BUILD in NBA 2K26,Joe Knows,134220,6306,746
2025-09-08T14:06:58.158844,wibLCuQ-Hwo,"Took A Walk (from ""The Long Walk"")",Shaboozey - Topic,71195,2825,27
2025-09-08T14:06:58.158844,swR8yo5mw2I,FORTNITE GLOBAL CHAMPIONSHIP 2025 | DAY 2,Fortnite Competitive,1069477,22016,241
2025-09-08T14:06:58.158844,sE4oFCRLaqY,"Let go, Let God lyrics ",Xania Monet,113339,4507,167
2025-09-08T14:06:58.158844,81upVpjP75w,Fortnite Battle Royale is Dying,SypherPK,381579,15018,2469
2025-09-08T14:06:58.158844,FZYmG4h3Hw8,"Un Titico, DJ Conds - TORRE EIFFEL (Video Oficial)",Un Titico,57178,1852,88
2025-09-08T14:06:58.158844,YAKz_fpzaoc,🔴 LIVE - #1 CONTROLLER PLAYER on WARZONE + NEW META UPDATE,Lucky Chamu,49863,591,5
2025-09-08T14:06:58.158844,CKGRd2on380,The Outfield - Your Love (Lyrics),7clouds Acoustic,85094,524,6
2025-09-08T14:06:58.158844,0-uGYd9e-Cg,I Found The Blood Base in Steal a Brainrot…,Dash Roblox,259435,2568,609
2025-09-08T14:06:58.158844,aXN_xOvtZTw,Rod Stewart - Have You Ever Seen The Rain (Lyrics),Soft Rock Land,711492,2488,32
2025-09-08T14:06:58.158844,vEtPWLbR9FM,I played against the WORLD'S BEST GeoGuessr player,Schlatt & Co.,192279,14464,516
2025-09-08T14:06:58.158844,aSMxHAnOh6I,Fadel Chaker - Rouh El Baher  | 2025 | فضل شاكر - روح البحر,Fadel Chaker,2680648,107610,15814
